Wake,Light,Deep,REM
0.36312849162011174,0.6186868686868687,0.5483870967741935,0.32362459546925565
0.3247863247863248,0.6021739130434782,0.27607361963190186,0.18269230769230768
0.2692307692307692,0.5597826086956522,0.9861111111111112,0.35714285714285715
0.34523809523809523,0.5065123010130246,0.0,0.6
1.0,0.6143344709897611,0.0,0.34545454545454546
0.95,0.2542372881355932,0.8947368421052632,0.14741035856573706
0.2926829268292683,0.6960600375234521,0.8333333333333334,0.42168674698795183
0.36538461538461536,0.7925925925925926,1.0,0.125
0.76,0.7414104882459313,0.7241379310344828,0.21160409556313994
0.8354430379746836,0.8067632850241546,0.751412429378531,0.8857142857142857
0.40384615384615385,0.6588628762541806,0.5520833333333334,0.17177914110429449
0.7536231884057971,0.39311594202898553,0.6,0.4370860927152318
0.6309523809523809,0.35678391959798994,0.9935897435897436,0.8333333333333334
0.40625,0.8709677419354839,0.6776315789473685,0.0
0.6153846153846154,0.8529411764705882,0.7455357142857143,0.5390334572490706
0.9626168224299065,0.5287958115183246,0.6751592356687898,0.0
0.17721518987341772,0.725557461406518,0.9224806201550387,0.6462585034013606
0.34615384615384615,0.7948275862068965,0.580110497237569,0.6170212765957447
0.7058823529411765,0.3782051282051282,0.7266187050359713,0.7577639751552795
0.23684210526315788,0.7352941176470589,0.11764705882352941,0.0
0.6585365853658537,0.65,0.4782608695652174,0.37606837606837606
0.7272727272727273,0.7437603993344426,1.0,0.490272373540856
0.6896551724137931,0.8140417457305503,0.38860103626943004,0.6359223300970874
0.2978723404255319,0.7589285714285714,0.6363636363636364,0.5101351351351351
0.5698924731182796,0.845213849287169,0.41228070175438597,0.32160804020100503
0.5512820512820513,0.5825049701789264,0.34951456310679613,0.5095057034220533
0.9183673469387755,0.6232638888888888,0.5321637426900585,0.8301886792452831
0.32727272727272727,0.7651991614255765,0.9225352112676056,0.3446601941747573
0.16091954022988506,0.6437699680511182,0.3522012578616352,0.10227272727272728
0.3118279569892473,0.64453125,0.9629629629629629,0.4652173913043478
0.855072463768116,0.3962703962703963,0.8461538461538461,0.5670103092783505
